period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2020/12,엠게임,058630,게임엔터테인먼트,235,570.3,274.1,0.1,0.6,35.9,,20.0,124.8,,296.2,115.0,30.6,47.4,58.2,,40.0,5.0,106.1,65.1,,,,0.4,38.5,,,,,,41.0,,10.1,,3.1,,,,10.5,-206.5,5.1,464.2,463.9,97.7,,247.7,-19.9,140.8
2021/12,엠게임,058630,게임엔터테인먼트,235,854.4,559.2,0.2,0.9,64.9,,37.5,383.7,,295.2,113.0,24.1,46.5,37.1,,33.4,41.0,117.2,81.1,,,10.1,0.6,42.5,,,,,0.2,36.1,,,0.4,3.1,,,,11.1,-443.1,12.5,737.2,735.8,97.7,,280.6,,360.2
2022/12(E),엠게임,058630,게임엔터테인먼트,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,엠로,058970,소프트웨어,33,248.4,100.6,,5.5,90.8,,3.5,0.7,,147.7,66.8,33.7,,8.3,26.2,12.6,,133.1,57.8,,24.1,2.3,,25.7,,0.3,,,5.4,75.3,,46.3,,0.1,,,,72.7,71.6,3.7,115.3,115.3,28.5,,36.0,-0.9,51.7
2017/12,엠로,058970,소프트웨어,33,304.3,122.1,,8.5,112.8,,0.5,0.2,,182.1,67.8,57.1,,10.4,29.9,16.9,,163.4,126.0,,40.2,46.3,,30.9,,0.3,,,8.2,37.4,,,,0.1,,,,86.6,82.7,5.3,140.9,140.9,30.5,,54.0,-4.6,61.0
2018/12,엠로,058970,소프트웨어,33,312.1,99.5,,31.3,60.9,,0.5,6.4,,212.6,67.2,77.3,,20.8,29.4,17.8,,176.4,61.3,,22.0,,,29.6,,0.1,,,9.6,115.1,26.6,45.0,,0.2,,,,93.6,60.0,4.2,135.7,135.7,30.5,,58.1,-7.7,54.7
2019/12,엠로,058970,소프트웨어,33,303.7,91.6,,10.5,65.7,,5.2,9.5,,212.2,63.0,78.1,,27.4,22.7,21.0,,212.8,102.4,,45.7,,0.3,36.4,,0.3,,,19.7,110.4,3.7,61.7,,0.1,,,,111.0,94.7,1.5,90.9,90.9,30.5,,56.7,-24.2,27.9
2020/12,엠로,058970,소프트웨어,33,370.6,160.2,,6.7,58.4,,1.8,39.0,,210.3,67.4,93.4,1.5,15.2,,32.9,,229.2,134.2,,27.8,51.7,0.2,41.4,0.6,1.1,,,,95.1,,14.3,,,,,,93.8,48.6,10.8,141.3,139.5,26.9,,57.5,-23.6,78.2
2021/12,엠로,058970,소프트웨어,33,557.6,329.2,,4.2,81.7,,2.6,194.1,,228.5,75.0,85.8,1.5,51.7,,14.4,,140.3,120.3,,3.3,,0.9,51.7,0.6,28.9,,,,20.0,,,0.2,,,,,4.3,-193.7,12.3,417.3,416.0,27.1,,222.3,16.7,132.5
2022/12(E),엠로,058970,소프트웨어,33,684.5,232.5,,,,,,,,,,,,,,,,195.0,148.0,,,,,,,,,,,47.0,,,,,,,,,-74.5,239.5,489.5,498.0,38.5,,,,
2016/12,엠벤처투자,019590,창업투자,109,,91.3,,,,,,,,44.9,,,,,,,,,271.6,,,,,,,,,,,6.3,,,,,,,,,,,,261.2,,,,,
2017/12,엠벤처투자,019590,창업투자,109,,63.8,,,,,,,,27.8,,,,,,,,,138.9,,,,,,,,,,,4.3,,,,,,,,,,,,221.1,,,,,
2018/12,엠벤처투자,019590,창업투자,109,,49.6,,,,,,,,84.8,,,,,,,,,72.2,,,,,,,,,,,3.0,,,,,,,,,,,,284.1,,,,,
2019/12,엠벤처투자,019590,창업투자,109,,84.1,,,,,,,,86.9,,,,,,,,,116.4,,,,,,,,,,,4.0,,,,,,,,,,,,376.9,,,,,
2020/12,엠벤처투자,019590,창업투자,109,,110.7,,,,,,,,79.5,,,,,,,,,161.2,,,,,,,,,,,8.4,,,,,,,,,,,,317.5,,,,,
2021/12,엠벤처투자,019590,창업투자,109,,153.5,,,,,,,,144.6,,,,,,,,,159.6,,,,,,,,,,,10.9,,,,,,,,,,,,478.2,,,,,
2022/12(E),엠벤처투자,019590,창업투자,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,엠아이텍,179290,건강관리장비와용품,211,204.0,126.8,44.4,28.1,31.0,,14.7,8.3,,77.2,47.7,9.6,,4.2,,15.7,,37.7,26.0,,,,,25.7,,,,,0.3,11.7,,,,1.0,4.9,,,,-18.0,9.3,166.3,166.3,118.7,,39.0,,8.5
2017/12,엠아이텍,179290,건강관리장비와용품,211,296.6,195.4,61.9,5.2,53.8,,8.4,66.1,,101.2,51.9,22.4,,3.8,1.2,21.9,,109.9,46.1,,,,,44.6,,0.2,,,1.3,63.8,42.0,,14.8,0.2,6.8,,,42.0,-29.3,8.3,186.8,186.7,118.7,,39.0,,29.1
2018/12,엠아이텍,179290,건강관리장비와용품,211,492.6,416.8,76.1,142.8,71.8,,10.3,115.9,,75.7,35.3,20.6,,2.3,1.6,15.9,,44.9,37.5,,,,,34.0,,0.9,,,0.3,7.4,,,,0.1,7.3,,,,-255.9,11.8,447.7,447.7,152.1,,260.4,2.2,33.0
2019/12,엠아이텍,179290,건강관리장비와용품,211,573.1,361.7,88.1,69.2,93.8,,7.7,102.9,,211.4,101.7,19.6,,56.3,1.7,21.3,10.8,90.5,78.0,,30.0,3.5,,40.6,,1.8,,,,12.5,,,5.9,0.1,6.5,,,39.4,-93.5,52.5,482.6,482.5,152.1,,260.4,15.6,54.4
