period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2022/12(E),DL이앤씨,375500,건설,42,3521.5,,,1821.9,,,-471.9,,,,,,,,,,,,,,,,,,,
2016/12,DSR,155660,비철금속,53,105.3,47.6,,-125.1,589.4,714.5,47.5,529.8,474.3,,,,,,,,,,,,,,,,,
2017/12,DSR,155660,비철금속,53,64.1,54.2,,-280.4,457.9,738.4,183.0,889.3,698.2,10.8,10.8,,,315.5,,315.5,,889.3,,,673.2,,,,76.8,41.0
2018/12,DSR,155660,비철금속,53,45.8,69.3,,-30.4,253.6,283.9,-36.4,1158.2,1186.6,0.2,0.2,,,112.1,,112.1,,1146.9,,11.3,1161.6,,,,41.0,20.5
2019/12,DSR,155660,비철금속,53,137.6,76.4,,-112.7,143.0,255.6,49.0,1008.2,951.2,0.7,0.7,,,84.9,,84.9,,996.9,,11.3,949.4,,,,20.5,93.1
2020/12,DSR,155660,비철금속,53,173.5,81.2,,-166.8,145.4,312.2,-5.2,548.4,545.6,6.7,6.7,,,88.4,,88.4,,531.3,,17.2,543.4,,,,93.1,92.3
2021/12,DSR,155660,비철금속,53,53.3,84.3,,-27.2,434.1,461.3,35.9,1018.6,974.8,0.1,0.1,,,82.1,,82.1,,993.7,,23.1,945.0,,27.1,,92.3,158.6
2022/12(E),DSR,155660,비철금속,53,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,E1,017940,가스유틸리티,168,281.6,440.1,17.3,-105.4,2754.8,3047.6,-167.5,26099.1,26116.3,,,,,,,,,,,,,,,,,
2017/12,E1,017940,가스유틸리티,168,-1289.7,411.2,16.2,1941.8,3546.0,1777.9,-459.8,27874.9,28219.0,428.6,428.6,15.0,81.2,578.8,,578.8,35.5,25207.2,1450.1,1217.5,25324.4,2500.0,280.1,,1442.0,1630.1
2018/12,E1,017940,가스유틸리티,168,1847.4,422.1,17.8,-268.1,608.5,1049.8,-2214.7,24879.8,26978.9,22.5,22.5,,,520.8,,520.8,16.0,19881.9,1495.0,3503.0,20659.5,3200.0,104.1,,1630.1,994.8
2019/12,E1,017940,가스유틸리티,168,546.9,1122.7,16.1,-17.6,543.5,724.7,-750.8,19302.5,19937.7,17.1,17.1,15.6,,377.5,,377.5,17.1,14612.9,4285.4,404.2,15746.7,3200.0,320.2,,994.8,773.7
2020/12,E1,017940,가스유틸리티,168,1750.9,1183.8,27.8,-728.7,458.4,1296.5,-255.4,22868.0,22996.2,12.5,12.5,,,783.8,,783.8,59.5,20988.9,1648.1,223.2,20038.8,2186.2,1.2,,773.7,1539.4
2021/12,E1,017940,가스유틸리티,168,513.0,1088.4,37.3,-839.0,190.2,1208.4,-170.4,34279.4,34322.6,4.8,4.8,4.3,,230.5,,230.5,25.6,26594.9,3574.0,4110.5,26528.5,3050.0,202.0,,1539.4,1044.8
2022/12(E),E1,017940,가스유틸리티,168,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/05,ESR켄달스퀘어리츠,365550,부동산,229,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/05,ESR켄달스퀘어리츠,365550,부동산,229,-1.4,,,,,,44.9,44.9,,,,,,,,,,,,,,,,,,43.5
2020/11,ESR켄달스퀘어리츠,365550,부동산,229,-3.2,,,,,,3542.5,3542.5,,,,,,,,,,,,,,,,,43.5,3582.8
