period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2020/06,바이오리더스,142760,생물공학,146,160.4,118.6,41.8,71.2,-29.4,33.3,19.9,-0.5,-16.5,5.3,-21.8
2020/09,바이오리더스,142760,생물공학,146,182.2,134.7,47.5,86.1,-38.5,2.4,26.6,-57.4,-120.1,-1.2,-118.9
2020/12,바이오리더스,142760,생물공학,146,261.4,185.7,75.7,96.1,-20.4,18.5,24.3,-162.1,-188.3,14.6,-203.0
2021/03,바이오리더스,142760,생물공학,146,256.0,197.4,58.6,79.1,-20.4,4.4,24.9,1.1,-39.8,-1.8,-38.0
2021/06,바이오리더스,142760,생물공학,146,229.9,168.9,61.0,88.2,-27.3,26.3,17.4,-108.3,-126.6,-1.6,-125.1
2021/09,바이오리더스,142760,생물공학,146,240.8,168.1,72.7,108.1,-35.4,53.3,17.5,0.4,0.8,-1.2,2.0
2021/12(E),바이오리더스,142760,생물공학,146,,,,,,,,,,,
2020/06,바이오솔루션,086820,생물공학,146,13.3,7.3,6.0,15.6,-9.6,4.1,0.3,-0.0,-5.9,,-5.9
2020/09,바이오솔루션,086820,생물공학,146,23.4,8.2,15.3,19.0,-3.7,3.3,0.1,,-0.5,,-0.5
2020/12,바이오솔루션,086820,생물공학,146,20.9,10.2,10.7,20.8,-10.0,3.9,0.2,0.4,-5.9,,-5.9
2021/03,바이오솔루션,086820,생물공학,146,25.1,9.5,15.6,20.2,-4.6,4.1,0.2,0.2,-0.5,,-0.5
2021/06,바이오솔루션,086820,생물공학,146,29.9,11.4,18.5,21.0,-2.5,4.0,0.1,-3.9,-2.6,,-2.6
2021/09,바이오솔루션,086820,생물공학,146,41.3,10.7,30.6,27.1,3.5,26.6,10.4,0.3,20.1,,20.1
2021/12(E),바이오솔루션,086820,생물공학,146,,,,,,,,,,,
2020/06,바이오스마트,038460,전자장비와기기,197,429.7,260.1,169.6,150.3,19.2,3.4,5.3,-9.3,8.5,10.9,-2.4
2020/09,바이오스마트,038460,전자장비와기기,197,387.4,236.3,151.1,158.9,-7.8,0.2,-1.1,-6.1,-11.5,1.1,-12.6
2020/12,바이오스마트,038460,전자장비와기기,197,418.0,309.6,108.5,152.3,-43.8,4.3,11.0,-50.7,-103.2,6.2,-109.5
2021/03,바이오스마트,038460,전자장비와기기,197,443.6,268.1,175.5,164.3,11.2,0.3,3.9,-0.7,2.9,4.6,-1.7
2021/06,바이오스마트,038460,전자장비와기기,197,509.1,313.8,195.2,153.5,41.8,2.8,3.8,0.3,39.6,3.6,36.1
2021/09,바이오스마트,038460,전자장비와기기,197,478.7,299.7,179.0,161.5,17.5,0.3,6.1,-1.2,7.6,1.9,5.6
2021/12(E),바이오스마트,038460,전자장비와기기,197,,,,,,,,,,,
2020/06,바이오톡스텍,086040,생명과학도구및서비스,218,65.4,48.9,16.6,17.1,-0.5,0.3,1.1,20.7,24.2,6.3,17.9
2020/09,바이오톡스텍,086040,생명과학도구및서비스,218,62.2,49.0,13.2,15.0,-1.8,0.5,1.1,7.5,5.9,1.7,4.2
2020/12,바이오톡스텍,086040,생명과학도구및서비스,218,74.8,55.3,19.5,13.3,6.3,0.2,1.0,-3.7,5.9,1.8,4.2
2021/03,바이오톡스텍,086040,생명과학도구및서비스,218,70.4,48.5,21.9,16.7,5.2,0.2,1.0,0.6,8.3,1.9,6.4
2021/06,바이오톡스텍,086040,생명과학도구및서비스,218,84.0,55.3,28.7,18.7,10.0,4.3,11.4,-0.9,1.7,-7.5,9.1
2021/09,바이오톡스텍,086040,생명과학도구및서비스,218,91.6,55.3,36.3,17.8,18.6,2.4,3.4,0.5,21.3,1.9,19.4
2021/12(E),바이오톡스텍,086040,생명과학도구및서비스,218,,,,,,,,,,,
2020/06,바이오플러스,099430,제약,35,34.6,15.7,18.8,6.6,12.2,-0.1,0.1,-0.0,12.0,2.9,9.1
2020/09,바이오플러스,099430,제약,35,75.5,24.3,51.2,10.9,40.2,0.2,0.4,,40.0,1.0,38.9
2020/12,바이오플러스,099430,제약,35,87.9,24.9,62.9,15.4,47.6,0.5,2.3,-0.1,45.6,15.9,29.8
2021/03,바이오플러스,099430,제약,35,88.3,28.3,60.0,10.5,49.5,1.4,1.5,-0.4,49.0,9.4,39.6
2021/06,바이오플러스,099430,제약,35,94.1,29.2,64.9,14.2,50.8,0.1,2.2,-0.1,48.3,10.5,37.8
2021/09,바이오플러스,099430,제약,35,80.6,30.9,49.7,13.9,35.8,2.7,41.4,-0.1,-4.6,4.7,-9.3
2021/12(E),바이오플러스,099430,제약,35,,,,,,,,,,,
2020/06,바이온,032980,제약,35,46.4,45.6,0.8,9.6,-8.7,1.2,3.0,-24.7,-37.3,0.3,-37.7
2020/09,바이온,032980,제약,35,48.8,33.0,15.8,-2.2,18.1,2.0,3.8,-12.7,0.3,,0.3
2020/12,바이온,032980,제약,35,56.3,71.8,-15.5,-2.5,-13.0,6.7,14.1,-0.4,-21.5,-4.0,-18.7
2021/03,바이온,032980,제약,35,33.8,29.6,4.2,10.1,-5.9,0.3,1.7,0.4,-8.2,,-8.2
2021/06,바이온,032980,제약,35,19.8,18.2,1.6,30.7,-29.2,4.8,2.8,4.4,-22.7,-5.0,-17.7
2021/09,바이온,032980,제약,35,20.7,15.0,5.8,11.6,-5.8,0.3,5.3,1.4,-9.1,,-9.1
2021/12(E),바이온,032980,제약,35,,,,,,,,,,,
2020/06,바텍,043150,건강관리장비와용품,211,470.1,278.4,191.7,171.9,19.8,0.9,3.8,-6.5,17.7,10.1,7.5
2020/09,바텍,043150,건강관리장비와용품,211,637.0,340.2,296.8,200.5,96.3,4.7,4.3,-12.5,80.7,15.4,65.3
2020/12,바텍,043150,건강관리장비와용품,211,791.0,422.9,368.1,231.6,136.5,2.1,15.8,-504.2,-405.2,-76.3,-328.9
2021/03,바텍,043150,건강관리장비와용품,211,750.0,397.8,352.2,221.8,130.3,15.6,5.7,20.1,178.6,31.2,147.4
2021/06,바텍,043150,건강관리장비와용품,211,849.7,420.1,429.6,229.9,199.7,5.1,1.2,-12.0,191.8,52.4,139.5
2021/09,바텍,043150,건강관리장비와용품,211,831.9,418.2,413.7,235.7,178.0,18.2,0.9,25.2,230.0,38.7,191.4
2021/12(E),바텍,043150,건강관리장비와용품,211,906.3,,436.0,,186.3,,,,196.0,,150.0
2020/06,박셀바이오,323990,제약,35,,,,,,,,,,,
2020/09,박셀바이오,323990,제약,35,,,,9.0,-9.0,0.1,0.1,0.1,-8.9,,-8.9
2020/12,박셀바이오,323990,제약,35,,,,13.1,-13.1,0.5,0.1,1.9,-10.7,,-10.7
2021/03,박셀바이오,323990,제약,35,,,,11.4,-11.4,0.6,0.1,3.1,-7.8,,-7.8
2021/06,박셀바이오,323990,제약,35,,,,14.2,-14.2,1.0,0.1,,-13.3,,-13.3
2021/09,박셀바이오,323990,제약,35,,,,14.8,-14.8,0.7,0.1,1.1,-13.1,,-13.1
2021/12,박셀바이오,323990,제약,35,,,,18.7,-18.7,0.9,0.1,4.3,-13.5,,-13.5
2022/03(E),박셀바이오,323990,제약,35,,,,,,,,,,,
2020/06,배럴,267790,"섬유,의류,신발,호화품",134,42.7,17.9,24.7,49.3,-24.6,0.2,0.5,1.7,-23.2,-3.5,-19.7
2020/09,배럴,267790,"섬유,의류,신발,호화품",134,102.7,47.5,55.3,63.0,-7.8,0.1,0.3,-0.7,-8.7,-1.9,-6.8
2020/12,배럴,267790,"섬유,의류,신발,호화품",134,68.6,45.0,23.6,44.1,-20.5,0.1,0.3,-0.7,-21.3,-4.4,-16.9
2021/03,배럴,267790,"섬유,의류,신발,호화품",134,21.2,9.2,12.1,34.9,-22.8,0.1,0.3,1.3,-21.6,-3.8,-17.9
2021/06,배럴,267790,"섬유,의류,신발,호화품",134,64.0,28.0,36.0,51.6,-15.5,0.2,0.9,0.7,-15.6,-3.0,-12.6
2021/09,배럴,267790,"섬유,의류,신발,호화품",134,69.6,27.0,42.5,53.7,-11.2,0.3,3.0,2.0,-11.9,-1.0,-10.9
2021/12(E),배럴,267790,"섬유,의류,신발,호화품",134,,,,,,,,,,,
