shareCode,shareName,shareNameEn,marketType,shareType
110990,디아이티,Digital Imaging Technology Inc.,KOSDAQ,보통주
263690,디알젬,DRGEM CORPORATION,KOSDAQ,보통주
214680,디알텍,DRTECH Corporation,KOSDAQ,보통주
263720,디앤씨미디어,D&C MEDIA CO.LTD.,KOSDAQ,보통주
376300,디어유,DEAR U Co.Ltd.,KOSDAQ,보통주
241520,DSC인베스트먼트,DSC Investment Inc.,KOSDAQ,보통주
109740,디에스케이,DSK Co.Ltd.,KOSDAQ,보통주
131030,디에이치피코리아,DHP KOREA.CO. Ltd,KOSDAQ,보통주
196490,디에이테크놀로지,DA Technology Co.Ltd.,KOSDAQ,보통주
066900,디에이피,DAP Co. Ltd,KOSDAQ,보통주
127120,디엔에이링크,DNA Link Inc,KOSDAQ,보통주
092070,디엔에프,DNF Co. Ltd.,KOSDAQ,보통주
068790,DMS,DMS Co.Ltd.,KOSDAQ,보통주
134580,디엠티,Digital Multimedia Technology Co.Ltd.,KOSDAQ,보통주
039840,디오,DIO Corporation,KOSDAQ,보통주
219550,디와이디대양,DYD DAEYANG,KOSDAQ,보통주
104460,디와이피엔에프,DYPNF CO.LTD,KOSDAQ,보통주
079810,디이엔티,DE&T Co. Ltd.,KOSDAQ,보통주
113810,디젠스,Dgenx Co. Ltd.,KOSDAQ,보통주
043360,디지아이,Digital Graphics Incorporation,KOSDAQ,보통주
197140,디지캡,DigiCAP,KOSDAQ,보통주
106520,디지탈옵틱,Digital Optics Co. Ltd.,KOSDAQ,보통주
068930,디지털대성,Digital Daesung Co. Ltd.,KOSDAQ,보통주
033130,디지틀조선,DigitalChosun,KOSDAQ,보통주
105740,디케이락,DK-Lok Corporation,KOSDAQ,보통주
263020,디케이앤디,DK&D,KOSDAQ,보통주
290550,디케이티,DK Tech Co. Ltd.,KOSDAQ,보통주
187220,디티앤씨,DT&C.co.ltd.,KOSDAQ,보통주
131180,딜리,DILLI ILLUSTRATE INC.,KOSDAQ,보통주
315640,딥노이드,DEEPNOID Inc.,KOSDAQ,보통주
