period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops
2020/09,딥노이드,315640,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7963994.0,,,,,,,,
2020/12,딥노이드,315640,IT서비스,154,0.0,,,,,,,,113.0,136.0,-23.0,-23.0,,20.0,,,,,0.0,116.0,,,,,-597.14,-301.14,,,-287.5,0.0,0.0,,,7963994.0,-17.5,,,,,,,
2021/03,딥노이드,315640,IT서비스,154,0.0,0.0,-21.0,-21.0,-21.0,-21.0,-21.0,,92.0,131.0,-39.0,-39.0,,20.0,-17.0,-3.0,0.0,3.0,-19.0,116.0,-6064.94,-6001.01,,,-337.39,-404.15,,,-487.5,0.0,0.0,,0.0,7963994.0,-37.2,,,,,,,
2021/06,딥노이드,315640,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7963994.0,,,,,,,,
2021/09,딥노이드,315640,IT서비스,154,946.0,6.0,-18.0,-18.0,-2.0,-2.0,-2.0,,210.0,58.0,153.0,153.0,,23.0,,,,,0.0,18.0,-287.51,-27.54,,,37.69,422.52,,,1700.0,6.18,0.0,,0.0,9157194.0,1109.2,,,,,,,
2021/12(E),딥노이드,315640,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),딥노이드,315640,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),딥노이드,315640,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,라닉스,317120,통신장비,136,1003.2,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,,318.0,152.0,165.0,165.0,,48.0,-2.0,2.0,0.0,3.0,-6.0,121.0,-4.5,-5.53,-4.99,-3.27,92.15,243.05,,,1833.33,6.08,0.0,,0.0,9435500.0,889.6,,,,,,,
2020/12,라닉스,317120,통신장비,136,990.72,22.0,-7.0,-7.0,-11.0,-11.0,-11.0,,323.0,152.0,172.0,172.0,,49.0,7.0,-12.0,9.0,0.0,7.0,121.0,-31.39,-51.36,-13.08,-8.64,88.38,250.31,,,1720.0,5.76,0.0,,0.0,9595500.0,881.52,,,,,,,
2021/03,라닉스,317120,통신장비,136,1174.24,20.0,-8.0,-8.0,-8.0,-8.0,-8.0,,313.0,149.0,164.0,164.0,,49.0,-6.0,0.0,1.0,0.0,-6.0,121.0,-37.2,-38.94,,,90.64,234.01,,,1640.0,7.16,0.0,,0.0,9595500.0,1060.34,,,,,,,
2021/06,라닉스,317120,통신장비,136,1084.45,28.0,-4.0,-4.0,-6.0,-6.0,-6.0,,465.0,260.0,205.0,205.0,,49.0,-12.0,-142.0,154.0,0.0,-13.0,231.0,-15.71,-20.91,,,126.92,314.33,-260.0,-41.71,2050.0,5.29,,,,9650500.0,860.15,,,,11.42,950.0,-54.22,-200.0
2021/09,라닉스,317120,통신장비,136,908.0,19.0,-11.0,-11.0,-15.0,-15.0,-15.0,,456.0,265.0,191.0,191.0,,49.0,0.0,-3.0,0.0,1.0,-1.0,236.0,-57.8,-81.38,,,138.72,283.56,-400.0,-22.7,1910.0,4.75,,,0.0,9650500.0,675.5,,,,10.2,890.0,-30.27,-300.0
2021/12(E),라닉스,317120,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),라닉스,317120,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),라닉스,317120,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,라온시큐어,042510,소프트웨어,33,1140.36,68.0,-14.0,-14.0,-17.0,-17.0,-22.0,5.0,462.0,270.0,193.0,172.0,21.0,165.0,-1.0,17.0,-1.0,1.0,-2.0,143.0,-20.96,-25.24,-27.07,-7.56,139.98,20.54,,,521.21,6.63,0.0,,0.0,33047707.0,1106.06,,,,,,,
2020/12,라온시큐어,042510,소프트웨어,33,1311.47,185.0,2.0,2.0,-18.0,-9.0,-13.0,4.0,510.0,168.0,343.0,313.0,30.0,187.0,28.0,41.0,4.0,0.0,28.0,52.0,0.83,-4.84,-38.05,-17.15,48.89,69.07,,,845.95,4.19,0.0,,0.0,37390559.0,1439.27,,,,,,,
2021/03,라온시큐어,042510,소프트웨어,33,1493.8,73.0,-19.0,-19.0,-22.0,-22.0,-25.0,3.0,461.0,116.0,345.0,308.0,37.0,190.0,4.0,2.0,-3.0,0.0,4.0,37.0,-25.43,-29.97,-42.8,-20.54,33.72,63.28,,,810.53,4.85,,,0.0,37923889.0,1641.9,-21.5,-76.37,,,,,
